编号,分组,中心_x,中心_y,中心_z,方向_x,方向_y,方向_z,delta,着色起点,着色终点
0,0,0.11804845633039149,0.16054086416540625,0.08799069111741338,0.550682914619811,0.7721248738577482,0.31713011007469255,0.06,0.27523414896036014,0.9952341489603601
1,1,0.1822549857790539,0.03576360080116643,-0.030284319443178283,-0.9844503135377541,0.12581816159949968,0.12258617535081129,0.06,0.028185696777461126,0.748185696777461
2,2,-0.1530317264355906,0.1615146386647267,0.04473358837352638,-0.7550346520885054,0.6267479166142268,0.19263884126861866,0.06,0.1386664026519662,0.8586664026519661
3,3,0.08931444984859611,-0.1015117484711034,-0.008760322835374673,-0.4553371779818576,0.2884319492352698,0.8423034281111891,0.06,0.012747507736084957,0.7327475077360849
4,4,-0.10865511180019244,0.016729692162227493,-0.21932159797321304,0.5366520738347005,-0.3633804219816236,0.7615505371079273,0.06,0.014064045022879204,0.7340640450228791
5,5,0.03238004164036351,0.12553942234096405,0.22639032727810754,-0.45521835953783385,0.0654671764530092,0.8879697595903557,0.06,0.0700435771915137,0.7900435771915136
6,6,0.00658735069603722,0.0903708441974775,-0.17948465237995592,-0.34007698841632145,-0.39099124104599026,0.8552622354430257,0.06,0.14131465060515824,0.8613146506051582
7,7,0.1346424832345322,-0.19410609032765386,0.026995738865539992,-0.8512107009091774,0.1534024843697504,0.5019043937314113,0.06,0.20566444253770727,0.9256644425377072
8,8,0.0020678149487509084,0.021004783525551414,-0.10316411396509245,0.8553885675291321,0.41461176245100595,0.31049554743623997,0.06,0.022713565150843287,0.7427135651508433
9,9,-0.0075035080651015065,-0.10014066336873798,-0.0431913152501851,0.35000215973029647,0.7315417441303109,0.5851026959251777,0.06,0.07691928196681284,0.7969192819668128
10,10,-0.025856056835028535,0.02241853371540123,-0.015477600514880266,0.09319666868144749,0.9797929008099673,0.17697528773552001,0.06,0.16607164267178992,0.8860716426717898
11,11,-0.16066747410462995,0.011327551161662869,0.10088300629348014,-0.21547172102940873,-0.5048683370740827,0.835870743390792,0.06,0.13335995769358475,0.8533599576935847
12,12,0.0,0.0,0.0,0.0,0.0,1.0,0.06,0.0,1.0
13,12,0.0090098187801853,0.005568808523731485,-0.4130676537311032,-0.1840398233315835,-0.11375173706367052,0.9763144399951673,0.06,0.265444492145884,0.985444492145884
14,13,-0.002468220329572126,-0.03020643292523972,-0.2295519423194085,0.05672649125960518,0.6942269021884699,0.7175173262487636,0.06,0.2066775156060094,0.9266775156060094
15,13,-0.10545002601414023,-0.03652246896496489,0.2396052581540002,0.8702835850917892,0.3014215020010624,0.3895530254679153,0.06,0.03535838422544254,0.7553583842254425
16,14,0.06028352657198941,-0.012738182193858914,0.28314329999293286,0.9615362339681869,-0.20317696111651876,0.18484369948075852,0.06,0.07522105625154976,0.7952210562515497
17,14,0.05198226546631814,0.031747089459783016,-0.14699815550857984,-0.546351347809219,-0.3336727431899062,0.768220479549441,0.06,0.19871071076710345,0.9187107107671034
18,15,-0.010222601140341606,-0.022503298440042063,-0.09828582335411543,-0.3258352415406302,-0.16476925864962938,0.9309578329732292,0.06,0.04483954228099508,0.764839542280995
19,16,0.0747936353842148,-0.15592137718970595,0.27294074264489837,-0.1811230418025703,0.32488657517975256,-0.9282473576564361,0.06,0.13464827229977572,0.8546482722997757
20,17,-0.04824307342568178,-0.10484861616569023,0.06955177847071661,-0.3225591400004503,0.2159017605288925,-0.9215975428584294,0.06,0.008095406265203288,0.7280954062652033
21,18,0.0502448543375262,0.22539416757084216,0.27224681125477934,0.004417261805037787,0.33034720178029925,0.9438491479437124,0.06,0.21947915534929416,0.9394791553492942
22,15,0.1332998495290674,0.25263248777362923,0.07280401240306957,-0.32430356679505107,-0.19045655443522236,0.9265816194144318,0.06,0.27808678808084736,0.9980867880808473
23,16,0.3477763980593362,0.05248885666605906,0.2922220588207498,0.0936149629963042,0.32889968311193124,-0.9397133803198037,0.06,0.24355293368090333,0.9635529336809033
