label,status,observed,reference,ratio,passed,note
1.1,可执行数值诊断,0.13398437500000004,0.029400933147419338,4.557147024150167,True,定理 1.2 下界的有限分辨率诊断
1.2,可执行数值诊断,0.13398437500000004,0.004721230281568106,28.37912302712304,True,断言 D 的数值下界诊断
1.3,可执行数值诊断,0.13398437500000004,0.010487461199837483,12.775673010554385,True,断言 E 的数值下界诊断
1.4,可执行数值诊断,0.13398437500000004,0.029400933147419338,4.557147024150167,True,推论 1.10 的数值诊断
1.5,可执行数值诊断,0.13398437500000004,0.2011621240848299,0.6660517013804197,False,证明概览中的改进并集体积目标
1.6,可执行数值诊断,1.0,4.971114739165813,4.971114739165813,True,典型重数目标
1.7/1.12,可执行数值诊断,0.5714285714285714,0.6517234870080821,0.8767960382276127,False,采样 τ-球内的局部密度；省略渐近隐含常数
1.7,可执行或数值诊断,,,,,已由稳定核心实现，或以有限分辨率数值类比形式检查。
1.8,可执行或数值诊断,,,,,已由稳定核心实现，或以有限分辨率数值类比形式检查。
1.9,可执行数值诊断,1.0,0.5650469000989533,0.5650469000989533,False,细尺度重数估计
1.10,恒等关系诊断,1.0,1.0,1.0,True,μ≈μ_fine μ_coarse 的中位数类比
1.11,可执行数值诊断,1.0,2.2973967099940698,2.2973967099940698,True,粗尺度重数目标
1.12,可执行或数值诊断,,,,,已由稳定核心实现，或以有限分辨率数值类比形式检查。
1.13,可执行或数值诊断,,,,,已由稳定核心实现，或以有限分辨率数值类比形式检查。
1.14,可执行或数值诊断,,,,,已由稳定核心实现，或以有限分辨率数值类比形式检查。
2.1,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.2,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.3,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.4,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.5,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.6,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.7,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.8,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.9,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.10,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.11,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
2.12,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.1,可执行,1.0,1.0,1.0,True,Katz–Tao 凸 Wolff 常数采样估计
4.2,可执行,0.20266074451763855,0.20266074451763855,1.0,True,Frostman 板 Wolff 常数采样估计
4.3,数值跟踪,,,,,通过多尺度分组检查覆盖继承；常数来自采样
4.4,数值跟踪,,,,,向下继承由分组探针估计表示
4.5,数值跟踪,5.0,,,,平衡覆盖基数诊断
4.6,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.7,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.8,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.9,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.10,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.11,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.12,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.13,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.14,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
4.15,仅证明链条,,,,,涉及精细化、鸽巢原理、存在性选择、归纳尺度或渐近比较；建立依赖记录但不伪造独立更新律。
